City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,turpan,42.9333,89.1667,34.58,14,0,0.8,CN,1693013608
108,hobyo,5.3505,48.5268,25.05,87,23,9.52,SO,1693013609
109,utrik,11.2278,169.8474,28.44,71,96,5.86,MH,1693013610
110,kingscliff,-28.2667,153.5667,22.65,53,40,5.66,AU,1693013611
111,igarka,67.4667,86.5833,11.08,97,100,1.6,RU,1693013614
112,hami,42.8,93.45,27.16,24,2,2.52,CN,1693013332
113,zavitinsk,50.1167,129.45,17.91,88,100,1.0,RU,1693013617
114,lobujya,27.95,86.8167,3.71,92,100,2.03,NP,1693013618
115,nizhniy lomov,53.5304,43.6766,12.71,51,100,2.36,RU,1693013619
116,lazaro cardenas,17.9583,-102.2,26.13,85,99,1.1,MX,1693013620
117,lauro de freitas,-12.8944,-38.3272,26.01,83,20,3.09,BR,1693013621
118,harper,4.375,-7.7169,24.53,89,97,4.39,LR,1693013622
119,sisimiut,66.9395,-53.6735,8.46,74,100,1.75,GL,1693013624
120,papao,-17.75,-149.55,28.82,83,32,7.74,PF,1693013625
121,ribeira grande,38.5167,-28.7,22.1,89,4,5.81,PT,1693013626
122,wailua homesteads,22.0669,-159.378,30.44,71,0,6.69,US,1693013627
123,vega de alatorre,20.0333,-96.6333,26.31,82,24,2.82,MX,1693013629
124,kawambwa,-9.7915,29.0791,17.98,39,6,1.89,ZM,1693013630
125,west fargo,46.875,-96.9004,20.0,66,0,6.69,US,1693013631
126,tiksi,71.6872,128.8694,12.96,71,100,5.3,RU,1693013632
127,vimmerby,57.6659,15.8552,13.48,99,100,1.89,SE,1693013633
128,al fuwayliq,26.4432,43.2534,29.21,14,4,2.25,SA,1693013635
129,chekmagush,55.1319,54.6556,9.14,76,81,1.96,RU,1693013636
130,west island,-12.1568,96.8225,25.99,78,40,6.17,CC,1693013637
131,east london,-33.0153,27.9116,12.95,63,97,10.27,ZA,1693013639
132,whitehorse,60.7161,-135.0538,22.23,50,100,4.12,CA,1693013640
133,alta,69.9689,23.2717,6.59,93,0,1.54,NO,1693013641
134,vrangel',42.7297,133.0839,22.52,80,10,5.59,RU,1693013643
135,constantia,44.1833,28.65,20.39,79,0,3.16,RO,1693013644
136,chala,-7.5833,31.2667,15.97,55,13,2.11,TZ,1693013645
137,darwin,-12.4611,130.8418,29.99,31,0,7.72,AU,1693013549
138,gebeit,21.0667,36.3167,29.81,28,9,2.5,SD,1693013648
139,timaru,-44.4,171.25,11.71,92,0,3.13,NZ,1693013649
140,taoudenni,22.6783,-3.9836,34.24,13,0,6.61,ML,1693013651
141,matehuala,23.65,-100.65,21.4,64,67,2.58,MX,1693013652
142,sinabang,2.4803,96.3801,24.54,91,100,3.42,ID,1693013653
143,viedma,-40.8135,-62.9967,5.14,56,0,2.6,AR,1693013654
144,menongue,-14.6585,17.691,15.62,25,67,1.4,AO,1693013655
145,ouesso,1.6136,16.0517,20.5,97,100,0.93,CG,1693013656
146,katima mulilo,-17.5,24.2667,18.59,26,0,3.04,NA,1693013658
147,hasaki,35.7333,140.8333,34.06,70,0,3.93,JP,1693013659
148,brookings,44.3114,-96.7984,23.99,59,0,4.12,US,1693013660
149,kapa'a,22.0752,-159.319,31.18,71,0,6.69,US,1693013661
150,camden,39.7835,-74.9663,26.03,86,2,2.65,US,1693013662
151,tando adam,25.7637,68.661,27.39,70,100,9.21,PK,1693013663
152,sitka,57.0531,-135.33,17.94,68,75,2.57,US,1693013665
153,lata,40.1629,-8.3327,17.73,93,100,0.9,PT,1693013666
154,udachny,66.4167,112.4,21.92,40,9,5.59,RU,1693013667
155,sarnen,46.8985,8.2507,20.87,80,40,1.54,CH,1693013669
156,port lincoln,-34.7333,135.8667,13.58,73,100,4.25,AU,1693013423
157,sabang,5.8933,95.3214,27.77,75,83,5.98,ID,1693013672
158,dickinson,29.4608,-95.0513,33.4,73,0,3.09,US,1693013673
159,novodvinsk,64.4165,40.8122,8.16,82,100,2.29,RU,1693013674
160,vilyuchinsk,52.9306,158.4028,16.15,82,99,3.06,RU,1693013675
161,port elizabeth,-33.918,25.5701,10.16,66,20,13.89,ZA,1693013476
162,kingman,35.1894,-114.053,36.77,29,0,2.06,US,1693013677
163,coaldale,49.7167,-112.6185,23.73,49,100,4.12,CA,1693013678
164,antonio enes,-16.2325,39.9086,21.58,89,0,2.92,MZ,1693013679
165,isafjordur,66.0755,-23.124,13.29,90,100,7.13,IS,1693013681
166,klyuchi,52.2667,79.1667,14.63,51,79,1.15,RU,1693013682
167,acarau,-2.8856,-40.12,25.48,81,1,6.55,BR,1693013683
